"battery_level","version_name","device_id","timestamp"
0.93,"1.91.2",12853,2018-09-02 02:38:55
0.94,"1.91.2",12853,2018-09-02 02:38:25
0.95,"1.91.2",12853,2018-09-02 02:37:55
0.96,"1.91.2",12853,2018-09-02 02:37:25
0.97,"1.91.2",12853,2018-09-02 02:36:55
0.98,"1.91.2",12853,2018-09-02 02:36:25
0.99,"1.91.2",12853,2018-09-02 02:35:55
0.97,"1.92.0",14702,2018-09-02 01:48:17
0.96,"1.92.0",14702,2018-09-02 01:56:12
0.95,"1.92.0",14702,2018-09-02 01:58:32
0.94,"1.92.0",14702,2018-09-02 01:59:42
0.93,"1.92.0",14702,2018-09-02 02:02:02
0.92,"1.92.0",14702,2018-09-02 02:03:44
0.02,"1.91.2",12853,2018-09-02 14:59:14
0.17,"1.91.2",12853,2018-09-04 14:14:35
0.16,"1.91.2",12853,2018-09-04 14:15:06
0.15,"1.91.2",12853,2018-09-04 14:15:36
0.14,"1.91.2",12853,2018-09-04 14:16:06
0.13,"1.91.2",12853,2018-09-04 14:16:36
0.12,"1.91.2",12853,2018-09-04 14:17:06
0.11,"1.91.2",12853,2018-09-04 14:17:36
0.10,"1.91.2",12853,2018-09-04 14:18:06
0.09,"1.91.2",12853,2018-09-04 14:18:36
0.08,"1.91.2",12853,2018-09-04 14:19:18
0.07,"1.91.2",12853,2018-09-04 14:19:48
0.06,"1.91.2",12853,2018-09-04 14:20:18
0.05,"1.91.2",12853,2018-09-04 14:20:48
0.04,"1.91.2",12853,2018-09-04 14:21:18
0.03,"1.91.2",12853,2018-09-04 14:23:34
0.90,"1.92.0",16750,2018-09-06 09:05:15
0.91,"1.92.0",16750,2018-09-06 08:49:16
0.92,"1.92.0",16750,2018-09-06 08:47:16
0.93,"1.92.0",16750,2018-09-06 08:45:16
0.33,"1.92.0",18066,2018-09-11 11:01:14
0.32,"1.92.0",18066,2018-09-11 11:05:15
0.22,"1.92.0",18066,2018-09-11 11:50:19
0.18,"1.92.0",18066,2018-09-11 12:04:42
0.30,"1.92.0",18066,2018-09-11 15:45:53
0.56,"1.92.0",18066,2018-09-13 21:23:39
0.85,"1.92.0",18066,2018-09-14 12:32:34
0.45,"1.91.2",12853,2018-09-15 15:34:36
0.44,"1.91.2",12853,2018-09-15 15:35:06
0.43,"1.91.2",12853,2018-09-15 15:35:36
0.42,"1.91.2",12853,2018-09-15 15:36:06
0.41,"1.91.2",12853,2018-09-15 15:36:36
0.40,"1.91.2",12853,2018-09-15 15:37:06
0.38,"1.91.2",12853,2018-09-15 15:38:31
0.37,"1.91.2",12853,2018-09-15 15:39:01
0.36,"1.91.2",12853,2018-09-15 15:39:31
0.35,"1.91.2",12853,2018-09-15 15:40:01
0.34,"1.91.2",12853,2018-09-15 15:40:31
0.33,"1.91.2",12853,2018-09-15 15:41:02
0.32,"1.91.2",12853,2018-09-15 15:41:32
0.31,"1.91.2",12853,2018-09-15 15:42:02
0.30,"1.91.2",12853,2018-09-15 15:42:32
0.29,"1.91.2",12853,2018-09-15 15:43:02
0.28,"1.91.2",12853,2018-09-15 15:43:32
0.27,"1.91.2",12853,2018-09-15 15:44:02
0.07,"1.91.2",12853,2018-09-16 04:17:22
0.06,"1.91.2",12853,2018-09-16 04:17:52
0.97,"1.92.0",18976,2018-09-18 10:45:49
0.96,"1.92.0",18976,2018-09-18 10:46:50
0.95,"1.92.0",18976,2018-09-18 10:47:51
0.94,"1.92.0",18976,2018-09-18 10:48:51
0.93,"1.92.0",18976,2018-09-18 10:49:52
0.92,"1.92.0",18976,2018-09-18 10:51:23
0.91,"1.92.0",18976,2018-09-18 10:52:24
0.90,"1.92.0",18976,2018-09-18 10:53:55
0.89,"1.92.0",18976,2018-09-18 10:54:55
0.88,"1.92.0",18976,2018-09-18 10:56:26
0.87,"1.92.0",18976,2018-09-18 10:57:27
0.86,"1.92.0",18976,2018-09-18 10:58:58
0.85,"1.92.0",18976,2018-09-18 10:59:58
0.84,"1.92.0",18976,2018-09-18 11:01:29
0.83,"1.92.0",18976,2018-09-18 11:03:00
0.73,"1.92.0",18976,2018-09-18 11:28:39
0.72,"1.92.0",18976,2018-09-18 11:29:40
0.71,"1.92.0",18976,2018-09-18 11:30:37
0.70,"1.92.0",18976,2018-09-18 11:31:38
0.69,"1.92.0",18976,2018-09-18 11:32:39
0.68,"1.92.0",18976,2018-09-18 11:33:39
0.60,"1.92.0",18066,2018-09-15 17:10:20
0.59,"1.92.0",18066,2018-09-15 17:13:13
0.38,"1.92.0",18066,2018-09-17 17:12:37
0.37,"1.92.0",18066,2018-09-17 17:16:02
0.36,"1.92.0",18066,2018-09-17 17:24:22
0.31,"1.92.0",18066,2018-09-17 17:57:24
0.48,"1.92.0",18066,2018-09-18 13:01:15
0.99,"1.92.0",19168,2018-09-20 09:47:51
0.98,"1.92.0",19168,2018-09-20 09:50:51
0.97,"1.92.0",19168,2018-09-20 09:52:50
0.91,"1.93.0",19168,2018-09-21 06:17:42
0.90,"1.93.0",19168,2018-09-21 06:18:06
0.89,"1.93.0",19168,2018-09-21 06:18:42
0.88,"1.93.0",19168,2018-09-21 06:19:42
0.87,"1.93.0",19168,2018-09-21 06:20:01
0.86,"1.93.0",19168,2018-09-21 06:20:42
0.85,"1.93.0",19168,2018-09-21 06:20:56
0.84,"1.93.0",19168,2018-09-21 06:21:43
0.83,"1.93.0",19168,2018-09-21 06:22:42
0.82,"1.93.0",19168,2018-09-21 06:22:53
0.81,"1.93.0",19168,2018-09-21 06:23:42
0.80,"1.93.0",19168,2018-09-21 06:24:42
0.79,"1.93.0",19168,2018-09-21 06:24:50
0.78,"1.93.0",19168,2018-09-21 06:25:42
0.77,"1.93.0",19168,2018-09-21 06:26:42
0.76,"1.93.0",19168,2018-09-21 06:27:16
0.75,"1.93.0",19168,2018-09-21 06:28:18
0.74,"1.93.0",19168,2018-09-21 06:28:38
0.73,"1.93.0",19168,2018-09-21 06:29:31
0.72,"1.93.0",19168,2018-09-21 06:30:42
0.71,"1.93.0",19168,2018-09-21 06:30:46
0.95,"1.93.0",19168,2018-09-21 11:20:54
0.94,"1.93.0",19168,2018-09-21 11:21:54
0.93,"1.93.0",19168,2018-09-21 11:22:54
0.92,"1.93.0",19168,2018-09-21 11:23:12
0.15,"1.91.2",12853,2018-09-21 08:26:27
0.16,"1.91.2",12853,2018-09-21 08:25:41
0.17,"1.91.2",12853,2018-09-21 08:24:56
0.18,"1.91.2",12853,2018-09-21 08:24:11
0.19,"1.91.2",12853,2018-09-21 08:23:26
0.20,"1.91.2",12853,2018-09-21 08:22:41
0.21,"1.91.2",12853,2018-09-21 08:21:56
0.22,"1.91.2",12853,2018-09-21 08:21:11
0.23,"1.91.2",12853,2018-09-21 08:20:41
0.24,"1.91.2",12853,2018-09-21 08:19:25
0.25,"1.91.2",12853,2018-09-21 08:18:55
0.26,"1.91.2",12853,2018-09-21 08:17:55
