Battery_Used,Version,ElapsedTimestamp
0.34,1.28.0,1029
0.01,1.28.0,30
0.2,1.28.0,592
0.06,1.28.0,204
0.29,1.28.0,870
0.09,1.28.0,286
0.13,1.28.0,577
0.78,1.28.0,4189
0.09,1.28.0,602
0.05,1.28.0,174
0.1,1.28.0,12690
0.02,1.28.0,136
0.02,1.28.0,61
0.02,1.28.0,74
0.02,1.28.0,42
0.01,1.28.0,22
0.07,1.28.0,199
0.08,1.28.0,243
0.04,1.28.0,827
0.01,1.28.0,142
0.01,1.28.0,181
0.08,1.28.0,865
0.03,1.28.0,298
0.14,1.28.0,1605
0.01,1.28.0,129
0.03,1.28.0,199
0.12,1.28.0,826
0.04,1.28.0,468
0.32,1.28.0,4001
0.02,1.28.0,210
0.24,1.28.0,2590
0.09,1.28.0,969
0.03,1.28.0,451
0.11,1.28.0,1402
0.31,1.28.0,3394
0.19,1.28.0,2729
0.07,1.28.0,848
0.12,1.28.0,1862
0.09,1.28.0,1400
0.1,1.28.0,454
0.18,1.28.0,736
0.04,1.28.0,354
0.7,1.28.0,5246
0.08,1.28.0,701
0.01,1.28.0,70
0.02,1.28.0,254
0.01,1.28.0,594
0.01,1.28.0,17
0.01,1.28.0,53
0.05,1.28.0,618
0.03,1.28.0,163
0.01,1.28.0,41
0.01,1.27.0,30
0.05,1.27.0,391
0.22,1.27.0,1383
0.01,1.27.0,60
0.03,1.27.0,180
0.21,1.27.0,1748
0.01,1.27.0,60
0.01,1.27.0,195
0.01,1.27.0,626
0.07,1.27.0,1147
0.01,1.27.0,153
0.01,1.27.0,4491
0.24,1.27.0,2004
0.07,1.27.0,5782
0.26,1.27.0,5115
0.07,1.27.0,1330
0.08,1.27.0,69939
0.14,1.27.0,1990
0.02,1.27.0,219
0.06,1.27.0,10365
0.07,1.27.0,4408
0.02,1.27.0,13
0.26,1.27.0,3258
0.04,1.27.0,508
0.09,1.27.0,270
0.06,1.27.0,830
0.13,1.27.0,1270
0.03,1.27.0,486
0.01,1.27.0,758
0.01,1.27.0,80
0.09,1.27.0,1827
0.64,1.27.0,6170
0.01,1.27.0,15
0.33,1.27.0,2259
0.01,1.27.0,33
0.01,1.27.0,141
0.47,1.27.0,4259
0.09,1.27.0,924
0.31,1.27.0,2712
0.01,1.27.0,30
0.01,1.27.0,37
0.01,1.27.0,15
0.66,1.27.0,4955
0.65,1.27.0,3454
0.35,1.27.0,2186
